timestamp,energy_kwh,temp_celsius,load_percentage
1/1/2023 10:00 AM,33.64,25.16,16.1
1/1/2023 10:00 PM,26.29,19.49,42.4
1/1/2023 11:00 AM,31.71,23.39,50.0
1/1/2023 11:00 PM,26.73,21.78,82.5
1/1/2023 12:00 AM,30.5,22.7,42.6
1/1/2023 12:00 PM,30.36,23.04,73.6
1/1/2023 1:00 AM,31.94,23.76,15.3
1/1/2023 1:00 PM,26.15,20.36,66.6
1/1/2023 2:00 AM,34.67,24.53,37.9
1/1/2023 2:00 PM,24.42,20.37,14.0
1/1/2023 3:00 AM,37.21,25.21,18.9
1/1/2023 3:00 PM,23.93,18.56,15.8
1/1/2023 4:00 AM,36.73,26.68,74.7
1/1/2023 4:00 PM,22.22,17.34,42.2
1/1/2023 5:00 AM,37.54,27.03,85.8
1/1/2023 5:00 PM,22.76,16.93,33.6
1/1/2023 6:00 AM,39.64,27.45,15.8
1/1/2023 6:00 PM,21.27,16.84,28.6
1/1/2023 7:00 AM,38.56,27.15,86.4
1/1/2023 7:00 PM,21.05,17.38,32.5
1/1/2023 8:00 AM,36.54,26.85,51.8
1/1/2023 8:00 PM,24.74,17.93,74.3
1/1/2023 9:00 AM,36.29,25.27,34.0
1/1/2023 9:00 PM,24.33,18.18,84.3
1/10/2023 10:00 AM,36.32,24.52,53.7
1/10/2023 10:00 PM,27.72,19.78,86.9
1/10/2023 11:00 AM,33.26,23.22,44.6
1/10/2023 11:00 PM,31.17,21.52,25.8
1/10/2023 12:00 AM,31.39,21.66,20.7
1/10/2023 12:00 PM,31.56,22.48,13.5
1/10/2023 1:00 AM,34.0,23.43,86.6
1/10/2023 1:00 PM,30.9,21.81,23.3
1/10/2023 2:00 AM,35.69,24.08,52.4
1/10/2023 2:00 PM,27.57,19.22,45.6
1/10/2023 3:00 AM,37.93,26.61,29.4
1/10/2023 3:00 PM,26.87,17.78,26.7
1/10/2023 4:00 AM,41.44,25.74,50.0
1/10/2023 4:00 PM,25.44,17.63,14.0
1/10/2023 5:00 AM,38.07,26.98,64.4
1/10/2023 5:00 PM,23.95,18.46,77.5
1/10/2023 6:00 AM,40.91,27.32,16.1
1/10/2023 6:00 PM,26.48,16.6,88.5
1/10/2023 7:00 AM,38.34,27.04,32.0
1/10/2023 7:00 PM,25.26,17.99,73.5
1/10/2023 8:00 AM,38.7,26.24,74.6
1/10/2023 8:00 PM,23.41,18.51,78.3
1/10/2023 9:00 AM,39.0,25.47,46.8
1/10/2023 9:00 PM,26.9,18.19,29.4
1/11/2023 10:00 AM,35.24,24.67,88.5
1/11/2023 10:00 PM,25.38,19.77,29.8
1/11/2023 11:00 AM,35.5,23.71,25.2
1/11/2023 11:00 PM,29.54,20.25,61.2
1/11/2023 12:00 AM,31.61,21.81,86.1
1/11/2023 12:00 PM,34.64,21.0,73.4
1/11/2023 1:00 AM,34.37,23.19,89.6
1/11/2023 1:00 PM,31.49,20.89,82.6
1/11/2023 2:00 AM,36.92,24.21,66.9
1/11/2023 2:00 PM,27.02,20.11,85.5
1/11/2023 3:00 AM,38.95,25.03,88.5
1/11/2023 3:00 PM,26.41,17.86,86.8
1/11/2023 4:00 AM,38.17,26.01,55.6
1/11/2023 4:00 PM,26.9,18.51,51.7
1/11/2023 5:00 AM,39.84,26.22,30.8
1/11/2023 5:00 PM,24.13,17.38,88.2
1/11/2023 6:00 AM,39.99,27.02,45.0
1/11/2023 6:00 PM,25.02,16.65,70.6
1/11/2023 7:00 AM,39.54,26.44,57.5
1/11/2023 7:00 PM,25.64,17.14,22.9
1/11/2023 8:00 AM,41.17,26.45,15.8
1/11/2023 8:00 PM,24.74,17.95,48.2
1/11/2023 9:00 AM,38.55,24.76,59.8
1/11/2023 9:00 PM,26.89,18.5,67.5
1/12/2023 10:00 AM,35.76,25.11,60.7
1/12/2023 10:00 PM,28.71,18.58,41.8
1/12/2023 11:00 AM,35.28,23.36,27.8
1/12/2023 11:00 PM,31.39,20.96,83.6
1/12/2023 12:00 AM,32.39,22.08,63.3
1/12/2023 12:00 PM,32.96,23.16,35.7
1/12/2023 1:00 AM,33.47,22.59,23.0
1/12/2023 1:00 PM,30.1,20.9,77.8
1/12/2023 2:00 AM,38.29,24.44,55.2
1/12/2023 2:00 PM,28.85,19.6,68.3
1/12/2023 3:00 AM,36.9,25.08,71.7
1/12/2023 3:00 PM,26.75,18.31,17.6
1/12/2023 4:00 AM,39.17,25.96,49.9
1/12/2023 4:00 PM,25.99,17.74,44.3
1/12/2023 5:00 AM,40.55,27.45,11.0
1/12/2023 5:00 PM,25.74,17.09,12.3
1/12/2023 6:00 AM,42.14,27.55,10.7
1/12/2023 6:00 PM,26.41,17.35,48.5
1/12/2023 7:00 AM,39.0,27.13,38.6
1/12/2023 7:00 PM,23.86,17.65,63.0
1/12/2023 8:00 AM,40.81,25.78,84.1
1/12/2023 8:00 PM,28.04,17.28,19.5
1/12/2023 9:00 AM,38.4,25.38,28.3
1/12/2023 9:00 PM,25.24,17.8,33.1
1/13/2023 10:00 AM,37.79,24.63,73.0
1/13/2023 10:00 PM,28.88,19.49,12.9
1/13/2023 11:00 AM,35.69,23.45,30.1
1/13/2023 11:00 PM,32.14,21.11,24.0
1/13/2023 12:00 AM,33.16,21.45,89.5
1/13/2023 12:00 PM,32.17,21.67,55.1
1/13/2023 1:00 AM,34.34,22.22,13.6
1/13/2023 1:00 PM,30.38,21.2,38.7
1/13/2023 2:00 AM,36.69,24.69,70.9
1/13/2023 2:00 PM,29.77,19.41,62.5
1/13/2023 3:00 AM,38.07,26.78,39.7
1/13/2023 3:00 PM,27.98,18.09,29.2
1/13/2023 4:00 AM,39.26,26.33,41.4
1/13/2023 4:00 PM,26.09,17.94,25.3
1/13/2023 5:00 AM,41.51,27.25,70.3
1/13/2023 5:00 PM,25.44,16.72,83.5
1/13/2023 6:00 AM,41.3,27.04,83.5
1/13/2023 6:00 PM,26.34,17.01,18.1
1/13/2023 7:00 AM,39.98,26.78,86.1
1/13/2023 7:00 PM,24.75,17.17,50.5
1/13/2023 8:00 AM,40.79,26.79,56.2
1/13/2023 8:00 PM,26.7,18.21,27.7
1/13/2023 9:00 AM,38.93,25.39,38.6
1/13/2023 9:00 PM,27.23,18.7,13.1
1/14/2023 10:00 AM,36.4,24.46,81.5
1/14/2023 10:00 PM,30.32,19.57,26.6
1/14/2023 11:00 AM,37.39,23.54,85.7
1/14/2023 11:00 PM,31.13,20.54,15.7
1/14/2023 12:00 AM,33.95,22.7,79.3
1/14/2023 12:00 PM,32.23,22.03,81.4
1/14/2023 1:00 AM,36.01,23.57,32.6
1/14/2023 1:00 PM,29.97,19.72,43.6
1/14/2023 2:00 AM,38.45,24.51,86.0
1/14/2023 2:00 PM,30.42,19.03,72.4
1/14/2023 3:00 AM,38.83,24.88,56.5
1/14/2023 3:00 PM,28.4,18.39,48.1
1/14/2023 4:00 AM,40.77,25.8,44.9
1/14/2023 4:00 PM,26.98,17.07,49.8
1/14/2023 5:00 AM,40.59,26.68,56.4
1/14/2023 5:00 PM,26.19,17.47,26.4
1/14/2023 6:00 AM,41.5,26.7,51.3
1/14/2023 6:00 PM,25.29,17.77,57.3
1/14/2023 7:00 AM,40.79,26.74,70.7
1/14/2023 7:00 PM,24.69,17.78,24.9
1/14/2023 8:00 AM,40.23,26.36,32.6
1/14/2023 8:00 PM,26.47,17.56,36.5
1/14/2023 9:00 AM,39.46,25.8,38.2
1/14/2023 9:00 PM,27.0,19.21,78.4
1/15/2023 10:00 AM,36.01,23.22,22.1
1/15/2023 10:00 PM,29.9,18.76,87.8
1/15/2023 11:00 AM,34.13,23.76,80.1
1/15/2023 11:00 PM,30.69,20.8,28.1
1/15/2023 12:00 AM,32.53,21.69,15.5
1/15/2023 12:00 PM,32.76,21.32,53.1
1/15/2023 1:00 AM,35.12,23.14,85.3
1/15/2023 1:00 PM,31.21,20.59,32.6
1/15/2023 2:00 AM,37.79,24.31,50.6
1/15/2023 2:00 PM,29.81,18.91,44.0
1/15/2023 3:00 AM,38.48,25.62,42.8
1/15/2023 3:00 PM,29.33,17.56,13.0
1/15/2023 4:00 AM,39.51,26.41,74.9
1/15/2023 4:00 PM,27.45,17.94,20.2
1/15/2023 5:00 AM,41.38,26.83,76.9
1/15/2023 5:00 PM,25.64,17.55,71.2
1/15/2023 6:00 AM,41.66,27.22,36.6
1/15/2023 6:00 PM,25.52,16.71,10.0
1/15/2023 7:00 AM,40.65,27.42,65.5
1/15/2023 7:00 PM,24.82,15.87,43.3
1/15/2023 8:00 AM,39.9,26.8,71.7
1/15/2023 8:00 PM,26.61,17.4,51.8
1/15/2023 9:00 AM,39.34,24.79,62.4
1/15/2023 9:00 PM,27.62,18.66,14.4
1/16/2023 10:00 AM,37.72,24.41,43.8
1/16/2023 10:00 PM,27.7,20.58,57.3
1/16/2023 11:00 AM,36.28,24.15,34.2
1/16/2023 11:00 PM,31.23,20.4,62.9
1/16/2023 12:00 AM,34.12,21.99,34.3
1/16/2023 12:00 PM,35.17,21.31,36.0
1/16/2023 1:00 AM,37.21,23.58,34.3
1/16/2023 1:00 PM,32.62,19.9,67.0
1/16/2023 2:00 AM,37.51,24.56,28.4
1/16/2023 2:00 PM,31.89,20.24,75.3
1/16/2023 3:00 AM,39.69,25.05,10.1
1/16/2023 3:00 PM,27.33,18.36,24.5
1/16/2023 4:00 AM,41.26,26.93,68.3
1/16/2023 4:00 PM,27.7,17.34,39.7
1/16/2023 5:00 AM,40.98,26.75,87.3
1/16/2023 5:00 PM,26.23,17.69,82.2
1/16/2023 6:00 AM,41.88,26.99,27.9
1/16/2023 6:00 PM,27.97,16.7,74.5
1/16/2023 7:00 AM,41.41,26.36,63.0
1/16/2023 7:00 PM,25.25,18.08,88.8
1/16/2023 8:00 AM,40.71,26.11,69.4
1/16/2023 8:00 PM,26.03,18.01,70.3
1/16/2023 9:00 AM,38.57,25.09,77.9
1/16/2023 9:00 PM,27.55,18.22,41.5
1/17/2023 10:00 AM,39.12,24.32,33.7
1/17/2023 10:00 PM,28.99,18.79,83.7
1/17/2023 11:00 AM,35.55,23.39,67.2
1/17/2023 11:00 PM,31.86,21.46,65.6
1/17/2023 12:00 AM,33.08,22.37,16.3
1/17/2023 12:00 PM,32.25,21.33,70.7
1/17/2023 1:00 AM,36.07,23.44,53.6
1/17/2023 1:00 PM,33.25,20.22,18.2
1/17/2023 2:00 AM,38.2,25.15,66.7
1/17/2023 2:00 PM,29.87,20.1,51.1
1/17/2023 3:00 AM,41.4,26.32,23.4
1/17/2023 3:00 PM,29.57,18.14,50.7
1/17/2023 4:00 AM,41.76,26.35,72.5
1/17/2023 4:00 PM,25.48,17.15,39.5
1/17/2023 5:00 AM,41.04,26.45,56.7
1/17/2023 5:00 PM,25.68,17.44,84.6
1/17/2023 6:00 AM,41.0,27.23,86.2
1/17/2023 6:00 PM,26.03,17.59,76.2
1/17/2023 7:00 AM,42.13,26.49,13.4
1/17/2023 7:00 PM,26.35,17.53,65.8
1/17/2023 8:00 AM,39.53,27.34,31.2
1/17/2023 8:00 PM,26.66,18.17,67.1
1/17/2023 9:00 AM,41.42,25.6,58.1
1/17/2023 9:00 PM,29.02,18.09,46.9
1/18/2023 10:00 AM,39.36,25.26,68.2
1/18/2023 10:00 PM,29.12,19.65,66.3
1/18/2023 11:00 AM,36.33,23.55,55.0
1/18/2023 11:00 PM,30.2,21.11,87.6
1/18/2023 12:00 AM,34.2,21.84,68.3
1/18/2023 12:00 PM,36.26,22.27,85.8
1/18/2023 1:00 AM,36.67,23.17,78.9
1/18/2023 1:00 PM,33.89,21.24,49.7
1/18/2023 2:00 AM,38.81,25.16,31.9
1/18/2023 2:00 PM,29.97,19.32,40.4
1/18/2023 3:00 AM,38.64,25.81,74.6
1/18/2023 3:00 PM,29.54,18.04,23.0
1/18/2023 4:00 AM,39.51,26.56,25.6
1/18/2023 4:00 PM,27.96,17.15,72.9
1/18/2023 5:00 AM,43.14,27.91,37.6
1/18/2023 5:00 PM,27.89,16.19,68.8
1/18/2023 6:00 AM,42.47,26.68,36.8
1/18/2023 6:00 PM,25.3,18.03,40.7
1/18/2023 7:00 AM,41.13,27.29,88.3
1/18/2023 7:00 PM,27.23,16.62,12.0
1/18/2023 8:00 AM,42.64,26.36,78.5
1/18/2023 8:00 PM,28.41,17.56,77.1
1/18/2023 9:00 AM,39.94,25.67,66.1
1/18/2023 9:00 PM,26.87,18.33,10.9
1/19/2023 10:00 AM,36.35,24.59,24.3
1/19/2023 10:00 PM,30.01,19.78,30.0
1/19/2023 11:00 AM,36.41,22.65,74.0
1/19/2023 11:00 PM,31.69,19.83,60.0
1/19/2023 12:00 AM,34.05,22.43,45.0
1/19/2023 12:00 PM,33.14,22.2,54.2
1/19/2023 1:00 AM,37.12,23.0,28.8
1/19/2023 1:00 PM,33.05,20.38,41.7
1/19/2023 2:00 AM,39.84,24.42,66.4
1/19/2023 2:00 PM,30.83,19.24,20.5
1/19/2023 3:00 AM,40.08,25.68,75.4
1/19/2023 3:00 PM,27.87,18.76,79.2
1/19/2023 4:00 AM,42.92,26.21,53.7
1/19/2023 4:00 PM,27.04,18.29,22.6
1/19/2023 5:00 AM,40.72,27.63,87.4
1/19/2023 5:00 PM,25.7,17.18,34.8
1/19/2023 6:00 AM,40.68,27.25,14.1
1/19/2023 6:00 PM,26.44,17.15,33.2
1/19/2023 7:00 AM,42.06,27.2,50.4
1/19/2023 7:00 PM,27.74,18.02,79.7
1/19/2023 8:00 AM,41.71,26.66,67.5
1/19/2023 8:00 PM,26.61,17.79,63.8
1/19/2023 9:00 AM,40.03,26.12,79.0
1/19/2023 9:00 PM,29.38,19.77,73.7
1/2/2023 10:00 AM,35.16,24.26,50.2
1/2/2023 10:00 PM,26.0,19.83,21.4
1/2/2023 11:00 AM,31.2,24.08,45.9
1/2/2023 11:00 PM,29.46,19.92,72.0
1/2/2023 12:00 AM,29.7,22.86,35.7
1/2/2023 12:00 PM,30.57,21.39,56.9
1/2/2023 1:00 AM,32.43,23.51,48.1
1/2/2023 1:00 PM,26.34,19.97,60.0
1/2/2023 2:00 AM,33.11,24.52,28.1
1/2/2023 2:00 PM,25.05,19.61,15.7
1/2/2023 3:00 AM,36.3,25.6,61.2
1/2/2023 3:00 PM,24.93,18.99,64.6
1/2/2023 4:00 AM,36.61,26.64,88.3
1/2/2023 4:00 PM,24.21,18.51,29.4
1/2/2023 5:00 AM,37.73,26.32,58.3
1/2/2023 5:00 PM,22.85,16.94,67.1
1/2/2023 6:00 AM,37.7,26.87,38.6
1/2/2023 6:00 PM,22.3,17.54,75.8
1/2/2023 7:00 AM,39.89,26.0,61.8
1/2/2023 7:00 PM,22.4,17.15,74.3
1/2/2023 8:00 AM,37.23,26.53,19.8
1/2/2023 8:00 PM,22.03,17.58,54.2
1/2/2023 9:00 AM,34.93,25.86,81.1
1/2/2023 9:00 PM,24.07,18.91,51.6
1/20/2023 10:00 AM,39.27,25.33,59.7
1/20/2023 10:00 PM,33.86,19.06,85.6
1/20/2023 11:00 AM,37.5,23.49,36.7
1/20/2023 11:00 PM,33.84,20.49,61.3
1/20/2023 12:00 AM,34.45,22.38,55.7
1/20/2023 12:00 PM,34.15,21.4,68.6
1/20/2023 1:00 AM,35.61,23.48,76.6
1/20/2023 1:00 PM,32.04,20.93,42.4
1/20/2023 2:00 AM,38.03,25.14,82.5
1/20/2023 2:00 PM,30.42,20.1,15.5
1/20/2023 3:00 AM,39.05,25.87,11.0
1/20/2023 3:00 PM,26.75,18.16,72.7
1/20/2023 4:00 AM,43.49,26.26,63.9
1/20/2023 4:00 PM,26.28,17.6,32.9
1/20/2023 5:00 AM,42.37,26.22,14.1
1/20/2023 5:00 PM,28.37,17.18,44.6
1/20/2023 6:00 AM,41.92,26.9,53.9
1/20/2023 6:00 PM,28.38,16.61,64.8
1/20/2023 7:00 AM,42.57,26.4,33.0
1/20/2023 7:00 PM,26.77,17.49,36.6
1/20/2023 8:00 AM,41.46,26.04,34.5
1/20/2023 8:00 PM,28.41,17.61,14.5
1/20/2023 9:00 AM,40.09,25.83,38.2
1/20/2023 9:00 PM,29.42,18.67,39.9
1/21/2023 10:00 AM,38.89,24.22,15.4
1/21/2023 10:00 PM,29.62,19.09,26.4
1/21/2023 11:00 AM,38.46,24.57,51.5
1/21/2023 11:00 PM,33.52,20.7,48.6
1/21/2023 12:00 AM,34.67,22.36,63.7
1/21/2023 12:00 PM,35.0,21.72,24.3
1/21/2023 1:00 AM,35.93,23.11,60.6
1/21/2023 1:00 PM,32.0,20.8,87.7
1/21/2023 2:00 AM,37.21,25.36,25.9
1/21/2023 2:00 PM,32.46,20.27,19.1
1/21/2023 3:00 AM,40.69,25.34,43.5
1/21/2023 3:00 PM,29.83,19.47,42.3
1/21/2023 4:00 AM,41.01,26.44,70.1
1/21/2023 4:00 PM,26.99,18.7,69.0
1/21/2023 5:00 AM,41.16,27.3,18.1
1/21/2023 5:00 PM,27.05,17.77,66.4
1/21/2023 6:00 AM,42.21,26.29,32.2
1/21/2023 6:00 PM,26.1,17.51,43.8
1/21/2023 7:00 AM,41.52,25.95,32.1
1/21/2023 7:00 PM,25.88,17.47,37.7
1/21/2023 8:00 AM,43.5,25.57,44.6
1/21/2023 8:00 PM,29.0,18.06,41.8
1/21/2023 9:00 AM,41.43,26.17,88.4
1/21/2023 9:00 PM,31.26,18.19,31.1
1/22/2023 10:00 AM,38.56,24.46,57.9
1/22/2023 10:00 PM,29.63,20.44,57.8
1/22/2023 11:00 AM,37.98,23.23,59.9
1/22/2023 11:00 PM,33.25,21.48,79.3
1/22/2023 12:00 AM,34.39,21.91,31.5
1/22/2023 12:00 PM,35.66,22.76,61.9
1/22/2023 1:00 AM,36.63,23.07,33.0
1/22/2023 1:00 PM,32.12,21.02,31.4
1/22/2023 2:00 AM,38.47,24.85,62.5
1/22/2023 2:00 PM,31.28,18.99,11.2
1/22/2023 3:00 AM,39.86,26.01,87.5
1/22/2023 3:00 PM,30.28,19.39,87.2
1/22/2023 4:00 AM,42.06,26.37,58.3
1/22/2023 4:00 PM,26.6,18.28,30.1
1/22/2023 5:00 AM,41.99,27.57,16.2
1/22/2023 5:00 PM,28.03,17.46,64.1
1/22/2023 6:00 AM,43.37,26.43,16.0
1/22/2023 6:00 PM,26.56,16.89,66.5
1/22/2023 7:00 AM,42.79,26.73,86.1
1/22/2023 7:00 PM,28.07,16.69,58.8
1/22/2023 8:00 AM,41.81,25.97,33.8
1/22/2023 8:00 PM,27.55,17.48,35.0
1/22/2023 9:00 AM,39.88,24.6,17.4
1/22/2023 9:00 PM,27.79,19.01,31.7
1/23/2023 10:00 AM,40.39,23.92,42.7
1/23/2023 10:00 PM,31.59,19.45,10.7
1/23/2023 11:00 AM,36.88,21.86,11.2
1/23/2023 11:00 PM,33.28,20.6,44.7
1/23/2023 12:00 AM,35.54,21.76,85.7
1/23/2023 12:00 PM,36.24,21.99,56.6
1/23/2023 1:00 AM,36.46,22.73,18.5
1/23/2023 1:00 PM,32.21,21.59,30.2
1/23/2023 2:00 AM,39.94,24.57,22.4
1/23/2023 2:00 PM,31.95,20.33,46.0
1/23/2023 3:00 AM,39.31,24.65,85.6
1/23/2023 3:00 PM,31.21,18.24,86.6
1/23/2023 4:00 AM,42.18,26.49,68.9
1/23/2023 4:00 PM,26.04,17.37,41.9
1/23/2023 5:00 AM,41.85,26.76,80.6
1/23/2023 5:00 PM,26.93,17.4,77.2
1/23/2023 6:00 AM,42.69,26.77,26.2
1/23/2023 6:00 PM,28.04,16.5,25.1
1/23/2023 7:00 AM,43.12,26.03,57.0
1/23/2023 7:00 PM,27.54,17.32,63.8
1/23/2023 8:00 AM,41.43,26.59,66.1
1/23/2023 8:00 PM,28.92,18.05,88.2
1/23/2023 9:00 AM,40.64,25.27,64.4
1/23/2023 9:00 PM,29.23,19.08,18.2
1/24/2023 10:00 AM,40.49,23.29,61.0
1/24/2023 10:00 PM,32.57,19.73,15.0
1/24/2023 11:00 AM,37.37,23.74,29.4
1/24/2023 11:00 PM,31.47,20.69,46.7
1/24/2023 12:00 AM,36.69,21.56,17.4
1/24/2023 12:00 PM,36.84,22.37,67.1
1/24/2023 1:00 AM,37.85,22.88,69.9
1/24/2023 1:00 PM,33.17,20.57,17.3
1/24/2023 2:00 AM,39.88,24.39,83.2
1/24/2023 2:00 PM,29.62,19.53,25.9
1/24/2023 3:00 AM,40.79,25.72,44.7
1/24/2023 3:00 PM,29.01,18.72,80.2
1/24/2023 4:00 AM,42.0,26.79,30.7
1/24/2023 4:00 PM,26.88,16.89,69.1
1/24/2023 5:00 AM,42.86,26.43,44.8
1/24/2023 5:00 PM,27.61,16.91,11.1
1/24/2023 6:00 AM,43.97,27.75,67.9
1/24/2023 6:00 PM,27.72,17.4,29.9
1/24/2023 7:00 AM,42.9,26.69,10.7
1/24/2023 7:00 PM,29.66,16.54,27.2
1/24/2023 8:00 AM,42.82,26.32,57.2
1/24/2023 8:00 PM,29.12,17.82,31.7
1/24/2023 9:00 AM,43.34,25.16,59.1
1/24/2023 9:00 PM,29.85,17.79,29.8
1/25/2023 10:00 AM,39.4,24.59,26.0
1/25/2023 10:00 PM,31.54,19.51,81.6
1/25/2023 11:00 AM,37.09,23.11,59.3
1/25/2023 11:00 PM,34.3,20.34,63.3
1/25/2023 12:00 AM,36.0,21.19,68.6
1/25/2023 12:00 PM,36.71,21.59,69.4
1/25/2023 1:00 AM,38.61,23.88,58.5
1/25/2023 1:00 PM,32.96,20.75,69.0
1/25/2023 2:00 AM,38.3,24.13,63.8
1/25/2023 2:00 PM,31.97,18.96,51.7
1/25/2023 3:00 AM,42.59,25.13,16.5
1/25/2023 3:00 PM,29.78,17.0,15.5
1/25/2023 4:00 AM,43.07,26.43,86.1
1/25/2023 4:00 PM,29.47,17.89,39.7
1/25/2023 5:00 AM,43.12,27.4,77.1
1/25/2023 5:00 PM,28.54,17.62,83.7
1/25/2023 6:00 AM,44.45,26.49,74.4
1/25/2023 6:00 PM,28.98,15.82,56.8
1/25/2023 7:00 AM,45.83,26.86,75.8
1/25/2023 7:00 PM,27.71,16.67,53.1
1/25/2023 8:00 AM,42.95,26.54,84.6
1/25/2023 8:00 PM,28.76,17.98,31.5
1/25/2023 9:00 AM,41.76,25.88,53.5
1/25/2023 9:00 PM,29.33,19.49,39.5
1/26/2023 10:00 AM,40.75,24.35,76.0
1/26/2023 10:00 PM,34.1,19.96,62.4
1/26/2023 11:00 AM,38.12,22.51,33.4
1/26/2023 11:00 PM,35.5,20.37,30.8
1/26/2023 12:00 AM,36.76,21.91,73.0
1/26/2023 12:00 PM,36.4,22.44,45.5
1/26/2023 1:00 AM,37.16,23.98,46.3
1/26/2023 1:00 PM,32.93,20.67,11.8
1/26/2023 2:00 AM,40.89,24.18,60.4
1/26/2023 2:00 PM,34.59,19.41,34.1
1/26/2023 3:00 AM,43.04,25.14,29.9
1/26/2023 3:00 PM,30.62,20.06,50.2
1/26/2023 4:00 AM,43.38,26.09,66.4
1/26/2023 4:00 PM,29.34,17.82,14.5
1/26/2023 5:00 AM,45.65,26.35,44.2
1/26/2023 5:00 PM,29.17,16.79,49.3
1/26/2023 6:00 AM,43.29,27.06,45.4
1/26/2023 6:00 PM,28.66,16.79,84.2
1/26/2023 7:00 AM,42.55,27.64,61.9
1/26/2023 7:00 PM,28.69,17.74,18.4
1/26/2023 8:00 AM,41.23,26.49,84.9
1/26/2023 8:00 PM,28.48,17.73,71.2
1/26/2023 9:00 AM,43.24,25.41,15.1
1/26/2023 9:00 PM,31.02,17.75,42.8
1/27/2023 10:00 AM,39.33,24.33,34.8
1/27/2023 10:00 PM,29.76,19.41,38.4
1/27/2023 11:00 AM,36.77,23.09,30.0
1/27/2023 11:00 PM,34.35,21.2,50.5
1/27/2023 12:00 AM,37.83,22.94,22.8
1/27/2023 12:00 PM,37.18,21.52,51.2
1/27/2023 1:00 AM,37.81,23.83,22.8
1/27/2023 1:00 PM,34.37,20.92,52.8
1/27/2023 2:00 AM,39.27,24.28,15.6
1/27/2023 2:00 PM,31.09,20.53,38.6
1/27/2023 3:00 AM,41.8,26.18,24.9
1/27/2023 3:00 PM,29.44,17.93,38.3
1/27/2023 4:00 AM,43.26,26.36,63.1
1/27/2023 4:00 PM,29.14,17.68,76.3
1/27/2023 5:00 AM,45.11,27.26,80.5
1/27/2023 5:00 PM,30.35,17.88,73.1
1/27/2023 6:00 AM,42.61,27.24,75.1
1/27/2023 6:00 PM,28.16,16.96,34.6
1/27/2023 7:00 AM,45.57,26.41,64.8
1/27/2023 7:00 PM,27.2,17.4,83.1
1/27/2023 8:00 AM,43.09,26.01,18.8
1/27/2023 8:00 PM,29.27,17.14,86.2
1/27/2023 9:00 AM,41.56,26.05,33.1
1/27/2023 9:00 PM,30.52,18.68,36.1
1/28/2023 10:00 AM,40.78,24.0,78.7
1/28/2023 10:00 PM,33.95,19.38,67.5
1/28/2023 11:00 AM,38.52,23.86,69.9
1/28/2023 11:00 PM,32.57,20.52,68.6
1/28/2023 12:00 AM,36.25,22.59,85.3
1/28/2023 12:00 PM,36.03,22.66,45.1
1/28/2023 1:00 AM,39.26,24.59,80.1
1/28/2023 1:00 PM,33.99,20.65,58.8
1/28/2023 2:00 AM,42.35,24.79,18.2
1/28/2023 2:00 PM,32.59,18.44,22.8
1/28/2023 3:00 AM,43.29,25.7,41.4
1/28/2023 3:00 PM,30.43,18.16,63.9
1/28/2023 4:00 AM,43.18,26.43,54.3
1/28/2023 4:00 PM,29.0,18.32,24.3
